operator_id,operator_profile,task_id,task_name,offering_slug,offering_name,run_order,timebox_minutes,status,access_status,time_to_first_acceptable_output_minutes,time_to_completion_minutes,requirements_pass_rate,manual_fix_count,structured_reuse,publish_success,governance_support,agent_or_api_leverage,notes
operator_a,Planned operator profile: design-forward frontend generalist who can use no-code tools comfortably.,task_2,Governed revision and reuse,framer,Framer,5,60,completed_observed,authenticated,1.3,1.3,1.00,0,yes,yes,2,2,"Codex continued in the same Wireframer session and used the Ask Framer surface to update the existing Northstar project. Framer reported and visually reflected three membership tiers, reusable testimonial and FAQ content, a clinician profile section, and a waitlist CTA without rebuilding from scratch."
operator_a,Planned operator profile: design-forward frontend generalist who can use no-code tools comfortably.,task_2,Governed revision and reuse,figma-make,Figma Make,6,60,completed_observed,authenticated,2.4,2.4,1.00,0,yes,yes,2,3,"Codex ran the revision in the fresh Figma Make file and observed it writing structured FAQ, testimonial, and clinician data files plus CTA changes to Join Waitlist. The change happened inside the same project without rebuilding from scratch."
operator_a,Planned operator profile: design-forward frontend generalist who can use no-code tools comfortably.,task_3,Publish or handoff,wix-studio,Wix Studio,1,60,completed_observed,authenticated,0.7,1.0,1.00,0,no,yes,2,1,"Codex used the existing authenticated Wix Harmony project as an abbreviated same-agent replication and confirmed the live public artifact at https://aistudy7.wixsite.com/professional-service. The publish path was still clear, but no repo or API handoff was exercised."
operator_a,Planned operator profile: design-forward frontend generalist who can use no-code tools comfortably.,task_3,Publish or handoff,webflow,Webflow,2,60,completed_observed,authenticated,1.0,2.0,0.75,0,no,yes,2,0,"Codex used the existing authenticated Webflow project as the operator_a replication for launch/handoff. The staging artifact at https://northstar-pediatrics.webflow.io/ remained live and the product still exposed review-oriented publish controls, but no API or repo hook was exercised."
operator_a,Planned operator profile: design-forward frontend generalist who can use no-code tools comfortably.,task_3,Publish or handoff,figma-sites,Figma Sites,3,60,blocked_plan_limit,authenticated_plan_limited,,,,,,,,,Codex re-opened the Figma Sites publish surface and hit the same Starter-plan restriction: 'You can’t publish on the Starter plan'. The publish step remains blocked until the workspace upgrades.
operator_a,Planned operator profile: design-forward frontend generalist who can use no-code tools comfortably.,task_3,Publish or handoff,framer,Framer,4,60,completed_observed,authenticated,0.8,1.0,0.75,1,yes,yes,2,1,"Codex published the Wireframer-generated Northstar project to https://kind-scone-269114.framer.app/ and the publish panel exposed domain assignment plus View Changes history. The publish and handoff surface was real, though the public URL spot check looked weaker than the in-editor canvas preview, so the launch artifact remains less reliable than the generation workflow itself."
operator_a,Planned operator profile: design-forward frontend generalist who can use no-code tools comfortably.,task_3,Publish or handoff,figma-make,Figma Make,5,60,completed_observed,authenticated,3.0,3.0,1.00,0,yes,yes,2,2,"Codex published the fresh Figma Make file to Community and web during the operator_a replication. The resulting artifacts were https://www.figma.com/community/file/1626032476524110349 and https://linear-maze-03473807.figma.site/, with chat-history visibility and versioning preserved."
operator_a,Planned operator profile: design-forward frontend generalist who can use no-code tools comfortably.,task_3,Publish or handoff,lovable,Lovable,6,60,completed_observed,authenticated_plan_limited,1.2,1.5,0.75,0,no,yes,1,1,"Codex used the fresh operator_a Lovable project as the handoff artifact even after the revision prompt hit the daily credit wall. A live tokenized preview was available immediately from the builder at https://1d5b8f2b-22a2-471a-8d21-799e18d56562.lovableproject.com/, which was enough to hand off or review, but the credit limit prevented deeper publish-workflow exercise."
operator_b,"Planned operator profile: frontend engineer comfortable with component systems, APIs, and handoff workflows.",task_1,Net-new marketing page,wix-studio,Wix Studio,1,45,completed_observed,authenticated,3.8,3.8,0.75,2,no,yes,1,2,"Codex ran the flow in a live authenticated session via Playwright. Wix Harmony first generated a generic professional-services site from its default prompt, then Aria revised the live preview into a Northstar Pediatrics page with the required hero, benefit blocks, pricing tiers, testimonial, and intro-call CTA. The result was usable, but several downstream contact and footer details remained generic and the workflow required a second prompt to reach the study brief."
operator_b,"Planned operator profile: frontend engineer comfortable with component systems, APIs, and handoff workflows.",task_1,Net-new marketing page,figma-sites,Figma Sites,2,45,blocked_product_path,authenticated,,,,,,,,,"Codex ran the flow in a live authenticated session via Playwright. Starting a blank Figma Sites file routed immediately into a code-component Make surface rather than a brief-first site generator, while the alternate path was template-first. That product-path mismatch prevented a clean net-new Northstar run under the task definition."
operator_b,"Planned operator profile: frontend engineer comfortable with component systems, APIs, and handoff workflows.",task_1,Net-new marketing page,lovable,Lovable,3,45,completed_observed,authenticated,5.5,5.5,1.00,0,no,yes,1,3,"Codex ran the flow in a live authenticated session via Playwright. Lovable accepted the Northstar brief from its chat-first composer, generated a real project at /projects/092ce542-4269-450c-9f47-b0d7206d618b, and produced a strong healthcare-oriented preview with the required hero, three benefit blocks, pricing, testimonial, and CTA."
operator_b,"Planned operator profile: frontend engineer comfortable with component systems, APIs, and handoff workflows.",task_1,Net-new marketing page,webflow,Webflow,4,45,completed_observed,authenticated,4.4,4.4,0.75,4,no,yes,1,2,"Codex ran the flow in a live authenticated session via Playwright. Webflow AI generated a multi-page project quickly and dropped into a usable preview, but the homepage still needed manual cleanup: pricing landed as a separate page rather than a clear on-page section, imagery was partly generic, and several secondary cards felt template-like."
operator_b,"Planned operator profile: frontend engineer comfortable with component systems, APIs, and handoff workflows.",task_1,Net-new marketing page,framer,Framer,5,45,blocked_product_path,authenticated,,,,,,,,,"Codex ran the flow in a live authenticated session via Playwright. Framer opened into a blank or template-first editor with manual composition tools, a plugin launcher, and commands such as 'Create Web Page', but it did not expose a clear brief-first site-generation flow comparable to the other tested builders. Within the study timebox that made a clean net-new Northstar run infeasible."
operator_b,"Planned operator profile: frontend engineer comfortable with component systems, APIs, and handoff workflows.",task_1,Net-new marketing page,figma-make,Figma Make,6,45,completed_observed,authenticated,2.4,2.4,1.00,0,no,yes,2,3,"Codex ran the flow in a live authenticated session via Playwright. Figma Make accepted the Northstar brief directly from the home-screen prompt box, created a versioned artifact in minutes, and the live preview contained the required hero, three benefit blocks, pricing, testimonial, and intro-call CTA."
operator_b,"Planned operator profile: frontend engineer comfortable with component systems, APIs, and handoff workflows.",task_2,Governed revision and reuse,framer,Framer,1,60,blocked_product_path,authenticated,,,,,,,,,"Codex ran the flow in a live authenticated session via Playwright. The authenticated Framer path emphasized manual editing, templates, and plugins rather than a structured in-product revision workflow that could reliably apply the requested membership tiers, clinician section, waitlist CTA, and FAQ within the timebox."
operator_b,"Planned operator profile: frontend engineer comfortable with component systems, APIs, and handoff workflows.",task_2,Governed revision and reuse,figma-make,Figma Make,2,60,completed_observed,authenticated,2.6,2.6,1.00,0,yes,yes,2,3,"Codex ran the flow in a live authenticated session via Playwright. The built-in 'Ask for changes' flow produced Version 2 with three membership tiers, a clinician profile section, and a CTA change to 'Join Waitlist'; the reasoning trace explicitly said testimonials and FAQs were rebuilt from reusable data arrays, and the updated preview reflected those changes."
operator_b,"Planned operator profile: frontend engineer comfortable with component systems, APIs, and handoff workflows.",task_2,Governed revision and reuse,webflow,Webflow,3,60,blocked_plan_limit,authenticated_plan_limited,,,,,,,,,"Codex ran the flow in a live authenticated session via Playwright. Webflow exposed CMS and App Gen, but the AI-builder project was restricted to 2 free pages, CMS collection creation surfaced 'Requested resource not found: Site not found', and the governed revision could not be completed cleanly in the current plan/project state."
operator_b,"Planned operator profile: frontend engineer comfortable with component systems, APIs, and handoff workflows.",task_2,Governed revision and reuse,wix-studio,Wix Studio,4,60,blocked_workflow_fragmentation,authenticated,,,,,,,,,"Codex ran the flow in a live authenticated session via Playwright. Aria preserved the Northstar copy but did not directly apply the governed revision. Instead it suggested adding the Wix Pricing Plans app and left the live preview without the requested clinician profile section, waitlist CTA, or FAQ, so the task could not be completed cleanly in-product."
operator_b,"Planned operator profile: frontend engineer comfortable with component systems, APIs, and handoff workflows.",task_2,Governed revision and reuse,figma-sites,Figma Sites,5,60,blocked_product_path,authenticated,,,,,,,,,"Codex ran the flow in a live authenticated session via Playwright. The available authenticated paths were a template-first site editor and a Make code-component surface. Neither exposed a reliable brief-driven revision flow that could add the requested Northstar tiers, clinician section, waitlist CTA, and FAQ within the study timebox."
operator_b,"Planned operator profile: frontend engineer comfortable with component systems, APIs, and handoff workflows.",task_2,Governed revision and reuse,lovable,Lovable,6,60,completed_observed,authenticated,3.1,3.1,1.00,0,yes,yes,1,3,"Codex ran the flow in a live authenticated session via Playwright. The same Lovable project was revised in place to add three pricing tiers, a clinician profile section, FAQ content, and a waitlist CTA; the chat log explicitly said the content was structured as typed arrays for easier editing, and the live preview reflected the changes."
operator_b,"Planned operator profile: frontend engineer comfortable with component systems, APIs, and handoff workflows.",task_3,Publish or handoff,figma-sites,Figma Sites,1,60,blocked_plan_limit,authenticated_plan_limited,,,,,,,,,"Codex ran the flow in a live authenticated session via Playwright. The editor exposed a real Publish flow, but Figma reported 'You can’t publish on the Starter plan' and blocked publication unless the workspace upgraded to Professional."
operator_b,"Planned operator profile: frontend engineer comfortable with component systems, APIs, and handoff workflows.",task_3,Publish or handoff,lovable,Lovable,2,60,completed_observed,authenticated,4.5,4.5,0.75,0,yes,yes,2,1,"Codex ran the flow in a live authenticated session via Playwright. Lovable exposed a real publish workflow with URL selection, visibility settings, metadata, and a recommended security scan, and the updated site was available in preview at https://092ce542-4269-450c-9f47-b0d7206d618b.lovableproject.com/. The final publish to northstar-care-hub.lovable.app failed with 'You don't have the permissions to perform this action', and GitHub sync surfaced but was not completed."
operator_b,"Planned operator profile: frontend engineer comfortable with component systems, APIs, and handoff workflows.",task_3,Publish or handoff,framer,Framer,3,60,completed_observed,authenticated,0.8,1.0,0.50,0,no,yes,2,0,"Codex ran the flow in a live authenticated session via Playwright. Framer published successfully on the free tier to https://illuminated-experience-814983.framer.app/ and exposed a publish panel with domain assignment plus 'View Changes' history. The publish mechanics were strong, but this pass did not exercise API or agent handoff and the underlying project remained a blank/default site rather than a completed Northstar build."
operator_b,"Planned operator profile: frontend engineer comfortable with component systems, APIs, and handoff workflows.",task_3,Publish or handoff,wix-studio,Wix Studio,4,60,completed_observed,authenticated,0.7,1.0,1.00,0,no,yes,2,1,"Codex ran the flow in a live authenticated session via Playwright. Wix published the site successfully to https://aistudy7.wixsite.com/professional-service and surfaced a live public URL plus custom-domain upsell. Publish worked cleanly, but no repo or API handoff was exercised in this pass."
operator_b,"Planned operator profile: frontend engineer comfortable with component systems, APIs, and handoff workflows.",task_3,Publish or handoff,webflow,Webflow,5,60,completed_observed,authenticated,1.0,2.0,0.75,0,no,yes,2,0,"Codex ran the flow in a live authenticated session via Playwright. Webflow produced a real staging publish at northstar-pediatrics.webflow.io, exposed reviewer sharing plus sandbox links, and showed staging vs custom-domain production destinations. The follow-up change path is clear, but no repo/API hook was exercised in this pass."
operator_b,"Planned operator profile: frontend engineer comfortable with component systems, APIs, and handoff workflows.",task_3,Publish or handoff,figma-make,Figma Make,6,60,completed_observed,authenticated,2.8,2.8,1.00,0,yes,yes,2,2,"Codex ran the flow in a live authenticated session via Playwright. Figma Make published successfully to Community and produced a live site at https://terra-low-46188087.figma.site/, while preserving version history and an option to expose chat history for downstream handoff."
