target_slug,target_name,score_set,rater_id,rater_lens,category,factor,score,evidence_label,rationale,category_subtotal,total_score
figma-sites,Figma Sites,rater,desk_rater_alpha,"More conservative on governance, switching cost, and outcome ownership.",ai_resilience_tests,agent_readiness_test,4,Direct evidence,"The broader Figma stack already exposes strong design-to-code and agent-facing surfaces, which helps Sites fit agent-assisted workflows.",16,51
figma-sites,Figma Sites,rater,desk_rater_alpha,"More conservative on governance, switching cost, and outcome ownership.",ai_resilience_tests,accountability_test,2,Inference,"The product influences what gets shipped, but it does not own uptime, conversion, or downstream business execution once the site is live.",16,51
figma-sites,Figma Sites,rater,desk_rater_alpha,"More conservative on governance, switching cost, and outcome ownership.",ai_resilience_tests,outcome_depth_test,3,Inference,"Sites can accelerate launches and improve consistency, but real business outcomes still depend on external content, traffic, and experimentation loops.",16,51
figma-sites,Figma Sites,rater,desk_rater_beta,Balanced baseline reading of the evidence packet.,proprietary_advantage,context,4,Direct evidence,"Figma Sites reuses shared components, variables, and file context from the design workflow instead of starting from a blank website canvas.",19,53
figma-sites,Figma Sites,rater,desk_rater_beta,Balanced baseline reading of the evidence packet.,proprietary_advantage,trust,4,Direct evidence,"Sites inherits Figma's organization-level security and account controls, which matter for teams already standardizing on the broader platform.",19,53
figma-sites,Figma Sites,rater,desk_rater_beta,Balanced baseline reading of the evidence packet.,proprietary_advantage,distribution,5,Direct evidence,"Figma already sits inside many product and brand design teams, so Sites can piggyback on an existing collaboration footprint.",19,53
figma-sites,Figma Sites,rater,desk_rater_beta,Balanced baseline reading of the evidence packet.,proprietary_advantage,judgment,3,Inference,"The tool preserves design intent well, but scarce website strategy and performance judgment still live largely with the team using it.",19,53
figma-sites,Figma Sites,rater,desk_rater_beta,Balanced baseline reading of the evidence packet.,proprietary_advantage,liability_governance,3,Direct evidence,"Team and org controls exist, but public evidence still points to lighter publishing governance than the more operations-heavy web platforms.",19,53
figma-sites,Figma Sites,rater,desk_rater_beta,Balanced baseline reading of the evidence packet.,workflow_criticality,frequency,4,Inference,"Teams that already work in Figma can use Sites in recurring launch and update cycles, though not every Figma user publishes sites regularly.",18,53
figma-sites,Figma Sites,rater,desk_rater_beta,Balanced baseline reading of the evidence packet.,workflow_criticality,operational_dependence,3,Inference,"Sites can matter materially for launch velocity, but it is not yet the default operating system for public web programs in the way deeper incumbents can be.",18,53
figma-sites,Figma Sites,rater,desk_rater_beta,Balanced baseline reading of the evidence packet.,workflow_criticality,system_position,4,Direct evidence,The product sits at the handoff point between design intent and publishable website output rather than only at ideation time.,18,53
figma-sites,Figma Sites,rater,desk_rater_beta,Balanced baseline reading of the evidence packet.,workflow_criticality,switching_cost,3,Inference,"Teams with established Figma systems gain reuse, but the published site layer remains portable enough that migration risk is still moderate.",18,53
figma-sites,Figma Sites,rater,desk_rater_beta,Balanced baseline reading of the evidence packet.,workflow_criticality,budget_durability,4,Inference,"Sites benefits from Figma's existing seat budget, which makes it more durable than a standalone experimental AI subscription.",18,53
figma-sites,Figma Sites,rater,desk_rater_beta,Balanced baseline reading of the evidence packet.,ai_resilience_tests,model_improvement_test,4,Inference,Better models should improve iteration speed and content generation inside the same shared design context instead of bypassing it entirely.,16,53
figma-sites,Figma Sites,rater,desk_rater_beta,Balanced baseline reading of the evidence packet.,ai_resilience_tests,wrapper_risk_test,3,Inference,"Sites is deeper than a generator because it carries team context and design systems, but the web publishing surface is still young enough to face copycat pressure.",16,53
figma-sites,Figma Sites,rater,desk_rater_beta,Balanced baseline reading of the evidence packet.,ai_resilience_tests,agent_readiness_test,4,Direct evidence,"The broader Figma stack already exposes strong design-to-code and agent-facing surfaces, which helps Sites fit agent-assisted workflows.",16,53
figma-sites,Figma Sites,rater,desk_rater_beta,Balanced baseline reading of the evidence packet.,ai_resilience_tests,accountability_test,2,Inference,"The product influences what gets shipped, but it does not own uptime, conversion, or downstream business execution once the site is live.",16,53
figma-sites,Figma Sites,rater,desk_rater_beta,Balanced baseline reading of the evidence packet.,ai_resilience_tests,outcome_depth_test,3,Inference,"Sites can accelerate launches and improve consistency, but real business outcomes still depend on external content, traffic, and experimentation loops.",16,53
figma-sites,Figma Sites,rater,desk_rater_gamma,More positive on agent leverage and model-improvement upside.,proprietary_advantage,context,4,Direct evidence,"Figma Sites reuses shared components, variables, and file context from the design workflow instead of starting from a blank website canvas.",19,55
figma-sites,Figma Sites,rater,desk_rater_gamma,More positive on agent leverage and model-improvement upside.,proprietary_advantage,trust,4,Direct evidence,"Sites inherits Figma's organization-level security and account controls, which matter for teams already standardizing on the broader platform.",19,55
figma-sites,Figma Sites,rater,desk_rater_gamma,More positive on agent leverage and model-improvement upside.,proprietary_advantage,distribution,5,Direct evidence,"Figma already sits inside many product and brand design teams, so Sites can piggyback on an existing collaboration footprint.",19,55
figma-sites,Figma Sites,rater,desk_rater_gamma,More positive on agent leverage and model-improvement upside.,proprietary_advantage,judgment,3,Inference,"The tool preserves design intent well, but scarce website strategy and performance judgment still live largely with the team using it.",19,55
figma-sites,Figma Sites,rater,desk_rater_gamma,More positive on agent leverage and model-improvement upside.,proprietary_advantage,liability_governance,3,Direct evidence,"Team and org controls exist, but public evidence still points to lighter publishing governance than the more operations-heavy web platforms.",19,55
figma-sites,Figma Sites,rater,desk_rater_gamma,More positive on agent leverage and model-improvement upside.,workflow_criticality,frequency,4,Inference,"Teams that already work in Figma can use Sites in recurring launch and update cycles, though not every Figma user publishes sites regularly.",18,55
figma-sites,Figma Sites,rater,desk_rater_gamma,More positive on agent leverage and model-improvement upside.,workflow_criticality,operational_dependence,3,Inference,"Sites can matter materially for launch velocity, but it is not yet the default operating system for public web programs in the way deeper incumbents can be.",18,55
figma-sites,Figma Sites,rater,desk_rater_gamma,More positive on agent leverage and model-improvement upside.,workflow_criticality,system_position,4,Direct evidence,The product sits at the handoff point between design intent and publishable website output rather than only at ideation time.,18,55
figma-sites,Figma Sites,rater,desk_rater_gamma,More positive on agent leverage and model-improvement upside.,workflow_criticality,switching_cost,3,Inference,"Teams with established Figma systems gain reuse, but the published site layer remains portable enough that migration risk is still moderate.",18,55
figma-sites,Figma Sites,rater,desk_rater_gamma,More positive on agent leverage and model-improvement upside.,workflow_criticality,budget_durability,4,Inference,"Sites benefits from Figma's existing seat budget, which makes it more durable than a standalone experimental AI subscription.",18,55
figma-sites,Figma Sites,rater,desk_rater_gamma,More positive on agent leverage and model-improvement upside.,ai_resilience_tests,model_improvement_test,5,Inference,Better models should improve iteration speed and content generation inside the same shared design context instead of bypassing it entirely.,18,55
figma-sites,Figma Sites,rater,desk_rater_gamma,More positive on agent leverage and model-improvement upside.,ai_resilience_tests,wrapper_risk_test,3,Inference,"Sites is deeper than a generator because it carries team context and design systems, but the web publishing surface is still young enough to face copycat pressure.",18,55
figma-sites,Figma Sites,rater,desk_rater_gamma,More positive on agent leverage and model-improvement upside.,ai_resilience_tests,agent_readiness_test,5,Direct evidence,"The broader Figma stack already exposes strong design-to-code and agent-facing surfaces, which helps Sites fit agent-assisted workflows.",18,55
figma-sites,Figma Sites,rater,desk_rater_gamma,More positive on agent leverage and model-improvement upside.,ai_resilience_tests,accountability_test,2,Inference,"The product influences what gets shipped, but it does not own uptime, conversion, or downstream business execution once the site is live.",18,55
figma-sites,Figma Sites,rater,desk_rater_gamma,More positive on agent leverage and model-improvement upside.,ai_resilience_tests,outcome_depth_test,3,Inference,"Sites can accelerate launches and improve consistency, but real business outcomes still depend on external content, traffic, and experimentation loops.",18,55
figma-make,Figma Make,desk_consensus,desk_consensus,Desk-only adjudicated consensus before empirical task adjustment,proprietary_advantage,context,3,Direct evidence,"Make can pull in library styling and existing Figma context, but the generated app itself is not yet a uniquely proprietary record layer.",15,43
figma-make,Figma Make,empirical_consensus,empirical_consensus,Empirical-adjusted consensus after live task evidence,proprietary_advantage,context,3,Direct evidence,"Make can pull in library styling and existing Figma context, but the generated app itself is not yet a uniquely proprietary record layer.",16,48
figma-make,Figma Make,desk_consensus,desk_consensus,Desk-only adjudicated consensus before empirical task adjustment,proprietary_advantage,trust,4,Direct evidence,The product benefits from Figma's broader enterprise posture and AI settings controls instead of asking teams to trust a brand-new builder in isolation.,15,43
figma-make,Figma Make,empirical_consensus,empirical_consensus,Empirical-adjusted consensus after live task evidence,proprietary_advantage,trust,4,Direct evidence,The product benefits from Figma's broader enterprise posture and AI settings controls instead of asking teams to trust a brand-new builder in isolation.,16,48
figma-make,Figma Make,desk_consensus,desk_consensus,Desk-only adjudicated consensus before empirical task adjustment,proprietary_advantage,distribution,4,Direct evidence,Figma's installed base gives Make privileged distribution into teams already living inside the platform.,15,43
figma-make,Figma Make,empirical_consensus,empirical_consensus,Empirical-adjusted consensus after live task evidence,proprietary_advantage,distribution,4,Direct evidence,Figma's installed base gives Make privileged distribution into teams already living inside the platform.,16,48
figma-make,Figma Make,desk_consensus,desk_consensus,Desk-only adjudicated consensus before empirical task adjustment,proprietary_advantage,judgment,2,Inference,"The tool speeds up exploration, but scarce product, engineering, and business judgment still sits with the human team reviewing the output.",15,43
figma-make,Figma Make,empirical_consensus,empirical_consensus,Empirical-adjusted consensus after live task evidence,proprietary_advantage,judgment,2,Inference,"The tool speeds up exploration, but scarce product, engineering, and business judgment still sits with the human team reviewing the output.",16,48
figma-make,Figma Make,desk_consensus,desk_consensus,Desk-only adjudicated consensus before empirical task adjustment,proprietary_advantage,liability_governance,2,Inference,"Public evidence emphasizes creation speed and connectors more than governed approvals, controls, or accountable production change management.",15,43
figma-make,Figma Make,empirical_consensus,empirical_consensus,Empirical-adjusted consensus after live task evidence,proprietary_advantage,liability_governance,3,Inference + Observed task evidence,"Public evidence emphasizes creation speed and connectors more than governed approvals, controls, or accountable production change management. Observed task evidence. Both runs preserved versioned change flow and publish artifacts, which supports a stronger governed-change read than the desk pass gave it.",16,48
figma-make,Figma Make,desk_consensus,desk_consensus,Desk-only adjudicated consensus before empirical task adjustment,workflow_criticality,frequency,3,Inference,"Make can become part of recurring prototyping loops, but it is not yet clearly a daily mission-critical workflow for most teams.",13,43
figma-make,Figma Make,empirical_consensus,empirical_consensus,Empirical-adjusted consensus after live task evidence,workflow_criticality,frequency,3,Inference,"Make can become part of recurring prototyping loops, but it is not yet clearly a daily mission-critical workflow for most teams.",15,48
figma-make,Figma Make,desk_consensus,desk_consensus,Desk-only adjudicated consensus before empirical task adjustment,workflow_criticality,operational_dependence,2,Inference,"Teams can route around Make with coding agents or other rapid builders if it is unavailable, which limits dependence today.",13,43
figma-make,Figma Make,empirical_consensus,empirical_consensus,Empirical-adjusted consensus after live task evidence,workflow_criticality,operational_dependence,3,Inference + Observed task evidence,"Teams can route around Make with coding agents or other rapid builders if it is unavailable, which limits dependence today. Observed task evidence. The tool supported the whole create-revise-publish loop in the study rather than only a disposable prototype step.",15,48
figma-make,Figma Make,desk_consensus,desk_consensus,Desk-only adjudicated consensus before empirical task adjustment,workflow_criticality,system_position,3,Direct evidence,"The product sits in the idea-to-interface path and can hand work to coding agents, but it does not yet control the broader site or app operating stack.",13,43
figma-make,Figma Make,empirical_consensus,empirical_consensus,Empirical-adjusted consensus after live task evidence,workflow_criticality,system_position,4,Direct evidence + Observed task evidence,"The product sits in the idea-to-interface path and can hand work to coding agents, but it does not yet control the broader site or app operating stack. Observed task evidence. Make held the center of the workflow across creation, revision, version history, and web or community publication.",15,48
figma-make,Figma Make,desk_consensus,desk_consensus,Desk-only adjudicated consensus before empirical task adjustment,workflow_criticality,switching_cost,2,Inference,"Prompt histories and context matter, yet the underlying generation workflow remains portable to other tools and model-native environments.",13,43
figma-make,Figma Make,empirical_consensus,empirical_consensus,Empirical-adjusted consensus after live task evidence,workflow_criticality,switching_cost,2,Inference,"Prompt histories and context matter, yet the underlying generation workflow remains portable to other tools and model-native environments.",15,48
figma-make,Figma Make,desk_consensus,desk_consensus,Desk-only adjudicated consensus before empirical task adjustment,workflow_criticality,budget_durability,3,Inference,"Make benefits from existing Figma budgets, but the feature itself still competes with many adjacent AI build surfaces for attention and spend.",13,43
figma-make,Figma Make,empirical_consensus,empirical_consensus,Empirical-adjusted consensus after live task evidence,workflow_criticality,budget_durability,3,Inference,"Make benefits from existing Figma budgets, but the feature itself still competes with many adjacent AI build surfaces for attention and spend.",15,48
figma-make,Figma Make,desk_consensus,desk_consensus,Desk-only adjudicated consensus before empirical task adjustment,ai_resilience_tests,model_improvement_test,5,Direct evidence,The product should improve directly as underlying models and connectors get better because generation quality and speed are central to its proposition.,15,43
figma-make,Figma Make,empirical_consensus,empirical_consensus,Empirical-adjusted consensus after live task evidence,ai_resilience_tests,model_improvement_test,5,Direct evidence,The product should improve directly as underlying models and connectors get better because generation quality and speed are central to its proposition.,17,48
figma-make,Figma Make,desk_consensus,desk_consensus,Desk-only adjudicated consensus before empirical task adjustment,ai_resilience_tests,wrapper_risk_test,2,Inference,"Make has useful grounding layers, but the visible user value is still close to a prompt-to-app experience that stronger commodity models can pressure quickly.",15,43
figma-make,Figma Make,empirical_consensus,empirical_consensus,Empirical-adjusted consensus after live task evidence,ai_resilience_tests,wrapper_risk_test,3,Inference + Observed task evidence,"Make has useful grounding layers, but the visible user value is still close to a prompt-to-app experience that stronger commodity models can pressure quickly. Observed task evidence. The live runs showed more durable value in structured change flow and context-preserving revision than a simple prompt-to-app wrapper read would imply.",17,48
figma-make,Figma Make,desk_consensus,desk_consensus,Desk-only adjudicated consensus before empirical task adjustment,ai_resilience_tests,agent_readiness_test,5,Direct evidence,"Pricing explicitly names MCP support, connectors, and sharing code with AI coding agents, which is unusually strong evidence of agent readiness.",15,43
figma-make,Figma Make,empirical_consensus,empirical_consensus,Empirical-adjusted consensus after live task evidence,ai_resilience_tests,agent_readiness_test,5,Direct evidence,"Pricing explicitly names MCP support, connectors, and sharing code with AI coding agents, which is unusually strong evidence of agent readiness.",17,48
figma-make,Figma Make,desk_consensus,desk_consensus,Desk-only adjudicated consensus before empirical task adjustment,ai_resilience_tests,accountability_test,1,Inference,"Make does not own the final runtime, support burden, or business outcome when generated software fails after handoff.",15,43
figma-make,Figma Make,empirical_consensus,empirical_consensus,Empirical-adjusted consensus after live task evidence,ai_resilience_tests,accountability_test,1,Inference,"Make does not own the final runtime, support burden, or business outcome when generated software fails after handoff.",17,48
figma-make,Figma Make,desk_consensus,desk_consensus,Desk-only adjudicated consensus before empirical task adjustment,ai_resilience_tests,outcome_depth_test,2,Inference,"The product can shorten exploration and prototyping, but most durable commercial outcomes still depend on downstream engineering, launch, and operations.",15,43
figma-make,Figma Make,empirical_consensus,empirical_consensus,Empirical-adjusted consensus after live task evidence,ai_resilience_tests,outcome_depth_test,3,Inference + Observed task evidence,"The product can shorten exploration and prototyping, but most durable commercial outcomes still depend on downstream engineering, launch, and operations. Observed task evidence. The tool materially affected speed, completeness, and handoff quality across all three tasks instead of only improving ideation.",17,48
figma-make,Figma Make,rater,desk_rater_alpha,"More conservative on governance, switching cost, and outcome ownership.",proprietary_advantage,context,3,Direct evidence,"Make can pull in library styling and existing Figma context, but the generated app itself is not yet a uniquely proprietary record layer.",14,41
figma-make,Figma Make,rater,desk_rater_alpha,"More conservative on governance, switching cost, and outcome ownership.",proprietary_advantage,trust,3,Direct evidence,The product benefits from Figma's broader enterprise posture and AI settings controls instead of asking teams to trust a brand-new builder in isolation.,14,41
figma-make,Figma Make,rater,desk_rater_alpha,"More conservative on governance, switching cost, and outcome ownership.",proprietary_advantage,distribution,4,Direct evidence,Figma's installed base gives Make privileged distribution into teams already living inside the platform.,14,41
figma-make,Figma Make,rater,desk_rater_alpha,"More conservative on governance, switching cost, and outcome ownership.",proprietary_advantage,judgment,2,Inference,"The tool speeds up exploration, but scarce product, engineering, and business judgment still sits with the human team reviewing the output.",14,41
figma-make,Figma Make,rater,desk_rater_alpha,"More conservative on governance, switching cost, and outcome ownership.",proprietary_advantage,liability_governance,2,Inference,"Public evidence emphasizes creation speed and connectors more than governed approvals, controls, or accountable production change management.",14,41
figma-make,Figma Make,rater,desk_rater_alpha,"More conservative on governance, switching cost, and outcome ownership.",workflow_criticality,frequency,3,Inference,"Make can become part of recurring prototyping loops, but it is not yet clearly a daily mission-critical workflow for most teams.",12,41
figma-make,Figma Make,rater,desk_rater_alpha,"More conservative on governance, switching cost, and outcome ownership.",workflow_criticality,operational_dependence,2,Inference,"Teams can route around Make with coding agents or other rapid builders if it is unavailable, which limits dependence today.",12,41
figma-make,Figma Make,rater,desk_rater_alpha,"More conservative on governance, switching cost, and outcome ownership.",workflow_criticality,system_position,3,Direct evidence,"The product sits in the idea-to-interface path and can hand work to coding agents, but it does not yet control the broader site or app operating stack.",12,41
figma-make,Figma Make,rater,desk_rater_alpha,"More conservative on governance, switching cost, and outcome ownership.",workflow_criticality,switching_cost,1,Inference,"Prompt histories and context matter, yet the underlying generation workflow remains portable to other tools and model-native environments.",12,41
figma-make,Figma Make,rater,desk_rater_alpha,"More conservative on governance, switching cost, and outcome ownership.",workflow_criticality,budget_durability,3,Inference,"Make benefits from existing Figma budgets, but the feature itself still competes with many adjacent AI build surfaces for attention and spend.",12,41
figma-make,Figma Make,rater,desk_rater_alpha,"More conservative on governance, switching cost, and outcome ownership.",ai_resilience_tests,model_improvement_test,5,Direct evidence,The product should improve directly as underlying models and connectors get better because generation quality and speed are central to its proposition.,15,41
